G;DAMCZB029-13SA;Teoria Aritmética dos Números II;Q1;Diurno;SA;4
G;NA4BIN0406-15SA;Introdução à Probabilidade e à Estatística;Q2;Noturno;SA;3
G;NB3BIN0406-15SA;Introdução à Probabilidade e à Estatística;Q2;Noturno;SA;3
G;NAMCTB023-17SA;Teoria Aritmética dos Números;Q2;Noturno;SA;4
G;DAMCTB016-13SA;Geometria Diferencial I;Q1;Diurno;SA;4
G;DA2BIS0003-15SB;Bases Matemáticas;Q2;Diurno;SB;4
G;DCBIS0003-15SB;Bases Matemáticas;Q2;Diurno;SB;4
G;NA1BIS0003-15SB;Bases Matemáticas;Q3;Noturno;SB;4
G;NB1BIS0003-15SB;Bases Matemáticas;Q3;Noturno;SB;4
PG;BTC206D171;Biologia Molecular e Biotecnologia;Q1;Noturno;SA;2
G;DANHT1002-15SB;Bioética;Q1;Diurno;SB;2
G;NANHT1002-15SB;Bioética;Q1;Noturno;SB;2
G;DFBCS0001-15SA;Base Experimental das Ciências Naturais;Q2;Diurno;SA;3
G;NB4BCS0001-15SA;Base Experimental das Ciências Naturais;Q2;Noturno;SA;3
G;ND4BCS0001-15SA;Base Experimental das Ciências Naturais;Q2;Noturno;SA;3
G;NE1BCS0001-15SB;Base Experimental das Ciências Naturais;Q2;Noturno;SB;3
G;;Coordenadora de Base Experimental das Ciências Naturais;Q2;;SA;1
G;NAMCTB014-13SA;Extensões Algébricas;Q1;Noturno;SA;4
G;NA4BIS0003-15SA;Bases Matemáticas;Q2;Noturno;SA;4
G;NB4BIS0003-15SA;Bases Matemáticas;Q2;Noturno;SA;4
G;NA1BCN0402-15SA;Funções de Uma Variável;Q3;Noturno;SA;4
G;NB1BCN0402-15SA;Funções de Uma Variável;Q3;Noturno;SA;4
G;DA3BIN0406-15SA;Introdução à Probabilidade e à Estatística;Q2;Diurno;SA;3
G;DAMCTB020-17SA;Teoria da Medida e Integração;Q2;Diurno;SA;4
G;DDBIS0003-15SB;Bases Matemáticas;Q3;Diurno;SB;4
G;DAMCTD011-13SA;Práticas de Ensino de Matemática no Ensino Fundamental;Q1;Diurno;SA;4
