G;DBBIS0003-15SB;Bases Matemáticas;Q3;Diurno;SB;4;terca das 08:00 às 10:00, Lab. A2-S201-SB, semanal/sexta das 10:00 às 12:00, Lab. A2-S201-SB, semanal ;0
PG;FIS102M172;Mecânica Quântica II;Q2;;SA;4;#N/D;#N/D
G;NAMCTB001-17SA;Álgebra Linear;Q2;Noturno;SA;6;segunda das 19:00 às 21:00, Lab. S - 212-0, semanal/quarta das 21:00 às 23:00, Lab. S - 212-0, semanal/sexta das 19:00 às 21:00, Lab. S - 208-0, semanal ;0
G;NA4BCN0404-15SA;Geometria Analítica;Q3;Noturno;SA;3;segunda das 19:00 às 21:00, sala S - 208-0, quinzenal I/sexta das 19:00 às 21:00, sala S - 214-0, semanal ;0
G;NAMCTB003-17SA;Álgebra Linear Avançada II;Q3;Noturno;SA;4;terca das 21:00 às 23:00, sala S - 501, semanal/quinta das 19:00 às 21:00, sala S - 501, semanal ;0
G;NA2BIS0005-15SB;Bases Computacionais da Ciência;Q1;Noturno;SB;2;0;terca das 21:00 às 23:00, sala A1-L101-SB, semanal 
G;NB2BIS0005-15SB;Bases Computacionais da Ciência;Q1;Noturno;SB;2;0;terca das 19:00 às 21:00, sala A1-L101-SB, semanal 
G;DAMCTA006-13SA;Circuitos Digitais;Q1;Diurno;SA;4;segunda das 10:00 às 12:00, sala S - 301-3, semanal/quinta das 08:00 às 10:00, sala S - 301-3, semanal ;0
G;NA1MCTA026-13SA;Sistemas Operacionais;Q1;Noturno;SA;1;segunda das 21:00 às 23:00, sala S - 212-0, semanal ;quinta das 19:00 às 21:00, sala 409-2, semanal 
G;DA3BCM0506-15SA;Comunicação e Redes;Q2;Diurno;SA;3;segunda das 08:00 às 10:00, Lab. S - 205-0, semanal/terca das 10:00 às 12:00, Lab. S - 205-0, quinzenal I;0
G;DB1BCM0506-15SA;Comunicação e Redes;Q2;Diurno;SA;3;segunda das 10:00 às 12:00, Lab. S - 207-0, semanal/terca das 08:00 às 10:00, Lab. S - 207-0, quinzenal I;0
G;NB2BIS0005-15SB;Bases Computacionais da Ciência;Q2;Noturno;SB;2;0;terca das 19:00 às 21:00, sala A1-L101-SB, semanal 
G;DAMCTB002-13SA;Álgebra Linear Avançada I;Q2;Diurno;SA;4;segunda das 08:00 às 10:00, Lab. S - 501, semanal/quarta das 10:00 às 12:00, Lab. S - 501, semanal ;0
G;NAMCTB002-13SA;Álgebra Linear Avançada I;Q2;Noturno;SA;4;segunda das 19:00 às 21:00, Lab. S - 501, semanal/quarta das 21:00 às 23:00, Lab. S - 501, semanal ;0
G;DA1BCN0404-15SB;Geometria Analítica;Q3;Diurno;SB;3;segunda das 08:00 às 10:00, sala A1-S201-SB, quinzenal I/sexta das 08:00 às 10:00, sala A1-S201-SB, semanal ;0
G;DBBCN0404-15SB;Geometria Analítica;Q3;Diurno;SB;3;segunda das 10:00 às 12:00, sala A2-S101-SB, quinzenal I/sexta das 10:00 às 12:00, sala A2-S101-SB, semanal ;0
G;DAMCZC007-15SB;Ergonomia Cognitiva;Q1;Diurno;SB;1;terca das 08:00 às 10:00, sala A1-S106-SB, semanal/sexta das 10:00 às 12:00, sala A1-S106-SB, semanal ;0
G;NAMCZC007-15SB;Ergonomia Cognitiva;Q1;Noturno;SB;2;terca das 19:00 às 21:00, sala A1-S106-SB, semanal/sexta das 21:00 às 23:00, sala A1-S106-SB, semanal ;0
G;DAMCZC008-13SB;Neuroarte;Q1;Diurno;SB;2;terca das 10:00 às 12:00, sala A1-S105-SB, semanal ;0
G;NAMCZC008-13SB;Neuroarte;Q1;Noturno;SB;2;terca das 21:00 às 23:00, sala A1-S105-SB, semanal ;0
G;DAMCTC002-15SA;Introdução à Neurociência;Q3;Diurno;SA;4;quarta das 14:00 às 16:00, sala A - 108-0, semanal/sexta das 14:00 às 16:00, sala A - 108-0, semanal ;0
G;NAMCTC002-15SB;Introdução à Neurociência;Q3;Noturno;SB;2;quarta das 19:00 às 21:00, sala A2-S203-SB, semanal/sexta das 21:00 às 23:00, sala A2-S203-SB, semanal ;0
G;NAMCTC011-15SB;Psicologia Cognitiva;Q3;Noturno;SB;4;terca das 19:00 às 21:00, sala A2-S203-SB, semanal/quarta das 21:00 às 23:00, sala A2-S205-SB, semanal ;0
G;DSBCM0505-15SA;Processamento da Informação - EAD;Q1;Diurno;EAD;3;"Aula Inaugural dia 08/02/17 das 17:00 às 19:00, salas 205-0 e 207-0; Primeira Prova dia 15/03/17 das 17:00 às 19:00, salas 205-0 e 207-0 "; ECONTROS SERÁO BREVEMENTE PUBLICADOS
G;NA3MCTA022-13SA;Redes de Computadores;Q1;Noturno;SA;2,5;segunda das 19:00 às 21:00, sala A - 113-0, semanal/quarta das 21:00 às 23:00, sala A - 113-0, quinzenal I;quarta das 21:00 às 23:00, sala 404-2, quinzenal II
G;NA4MCTA022-13SA;Redes de Computadores;Q1;Noturno;SA;1,5;segunda das 19:00 às 21:00, sala A - 113-0, semanal/quarta das 21:00 às 23:00, sala A - 113-0, quinzenal I;quarta das 21:00 às 23:00, sala 403-2, quinzenal II
G;DSBCM0505-15SB;Processamento da Informação - EAD;Q2;Diurno;SB;5;"Aula Inaugural dia 08/02/17 das 17:00 às 19:00, sala A1-S206-SB; Primeira Prova dia 15/03/17 das 17:00 às 19:00, sala A1-S206-SB"; ECONTROS SERÁO BREVEMENTE PUBLICADOS
G;DA1BIS0005-15SB;Bases Computacionais da Ciência;Q2;Diurno;SB;2;0;terca das 10:00 às 12:00, sala A1-L002-SB, semanal 
G;DB1BIS0005-15SB;Bases Computacionais da Ciência;Q2;Diurno;SB;2;0;terca das 08:00 às 10:00, sala A1-L002-SB, semanal 
G;DDBCS0002-15SB;Projeto Dirigido;Q1;Diurno;SB;2;segunda das 10:00 às 12:00, sala A1-S201-SB, semanal ;0
G;DA1MCTC023-15SB;Neuroanatomia;Q1;Diurno;SB;1;quarta das 10:00 às 12:00, sala A2-S206-SB, quinzenal I/sexta das 08:00 às 10:00, sala A2-S206-SB, semanal ;quarta das 10:00 às 12:00, sala A1-L302-SB, quinzenal II
G;NA1MCTC023-15SB;Neuroanatomia;Q1;Noturno;SB;1;quarta das 21:00 às 23:00, sala A2-S307-SB, quinzenal I/sexta das 19:00 às 21:00, sala A2-S203-SB, semanal ;quarta das 21:00 às 23:00, sala A1-L302-SB, quinzenal II
PG;NCG001M171;Neurociência;Q1;Noturno;SB;3;#N/D;#N/D
G;DAMCTC001-15SB;Introdução à Filosofia da Mente;Q2;Diurno;SB;2;quinta das 08:00 às 10:00, Lab. A1-S205-SB, semanal ;0
PG;NCG104M172;Desenvolvimento Neural e Cognitivo;Q2;;SB;2;#N/D;#N/D
PG;NCG301M172;Filosofia da Mente e da Neurociência;Q2;;SB;2;#N/D;#N/D
